"pq_nome","date","place","id","female","age","general","frequency","duration","origin","commute","means","home","motivation","other_motiv","activity","other_activ","prs_score","education","income","mot_active","mot_personal","act_active","act_personal","district","shannon_index","total_edge","contig","lsi","circle","X4_lpi_0m","X6_lpi_0m","X4_ed_0m","X6_ed_0m","X4_contig_mn_0m","X6_contig_mn_0m","X4_pland_0m","X6_pland_0m","X4_nlsi_0m","X6_nlsi_0m","X4_te_0m","X6_te_0m","X4_np_0m","X6_np_0m","X1_lpi_0m","X1_ed_0m","X1_contig_mn_0m","X1_pland_0m","X1_nlsi_0m","X1_te_0m","X1_np_0m","X2_lpi_0m","X5_lpi_0m","X2_ed_0m","X5_ed_0m","X2_contig_mn_0m","X5_contig_mn_0m","X2_pland_0m","X5_pland_0m","X2_nlsi_0m","X5_nlsi_0m","X2_te_0m","X5_te_0m","X2_np_0m","X5_np_0m","pq_area","pq_PrefReg","Categoria","Mobilidade","Acessibili","Equip_cria","Equip_espo","Sinalizaca","Nota_Infra","Manejo_Con","Residuos_s","Ambientes_","Nota_manej","Nota_segur","Nota_gesta","ID","area","altmean","vol_asum","vol_bsum","alt_bmean","area_agua","ds_codigo","Media_GeoSES","Media_educacao","Media_mobilidade","Media_pobreza","Media_privacao_material","Media_riqueza","Media_renda","Media_segregacao","contig_mn_tree","presence_agua","income_p","frequency_p","duration_p"
"LINEAR GUARATIBA","01-05-19","Guaratiba",570,"Female",27,"Good","3 to 6 times a week",">3h","Home","1 to 1h 30 min","Foot","Jardim eutevinia","Stroll with child/elderly"," ","sit"," ","3.8","primary school","< 2 MW",1,0,0,1,"GUAIANASES","9.38910057620943","1730.22948654449","0.418573209912855","14.0452488687783","0.531411118746313","1.62621759947169","12.9932309724286","1730.22948654449","1730.22948654449","0.434729623705647","0.382780539356516","24.3519894337131","75.6480105662869","0.23432913141081","0.297116988324994",2096,2096,144,65,"0","0",NA,"0",NA,0,0,"0",0,"0",0,NA,NA,"0",0,NA,NA,0,0,0,0,22141,"GUAIANASES","Linear","0.19","0","0.08","0.1","0.04","0.7","0.4","0.13","0.44","0.98","1.25","0.52",68,"22147.559","4.07404463161937","16818.6747504827","2731.71185654402","4.52083054454947","0",31,"-0.542193937197807","3.30310564661022","18.9182935052984","17.7567760207712","61.0184947409795","0","2126.87155845242","-0.144097256760072","0.434729623705647",0,2,18,180
"LINEAR GUARATIBA","01-05-19","Guaratiba",571,"Female",25,"Good","1 or 2 times a week","2 to 3h","Home","15 to 30 min","Foot","Princesa Isabel","Stroll with child/elderly"," ","play with child"," ","4","secondary school","< 2 MW",1,0,1,0,"GUAIANASES","9.38910057620943","1730.22948654449","0.418573209912855","14.0452488687783","0.531411118746313","1.62621759947169","12.9932309724286","1730.22948654449","1730.22948654449","0.434729623705647","0.382780539356516","24.3519894337131","75.6480105662869","0.23432913141081","0.297116988324994",2096,2096,144,65,"0","0",NA,"0",NA,0,0,"0",0,"0",0,NA,NA,"0",0,NA,NA,0,0,0,0,22141,"GUAIANASES","Linear","0.19","0","0.08","0.1","0.04","0.7","0.4","0.13","0.44","0.98","1.25","0.52",68,"22147.559","4.07404463161937","16818.6747504827","2731.71185654402","4.52083054454947","0",31,"-0.542193937197807","3.30310564661022","18.9182935052984","17.7567760207712","61.0184947409795","0","2126.87155845242","-0.144097256760072","0.434729623705647",0,2,6,150
"LINEAR GUARATIBA","01-05-19","Guaratiba",572,"Male",36,"Good","3 to 6 times a week","30 min to 1h","Home","5 to 15 min","Foot","Vila santa cruz","Other motivation","Social  (mem�ria afetiva)","play with child"," ","5.46666666666667","secondary school","< 2 MW",0,0,1,0,"GUAIANASES","9.38910057620943","1730.22948654449","0.418573209912855","14.0452488687783","0.531411118746313","1.62621759947169","12.9932309724286","1730.22948654449","1730.22948654449","0.434729623705647","0.382780539356516","24.3519894337131","75.6480105662869","0.23432913141081","0.297116988324994",2096,2096,144,65,"0","0",NA,"0",NA,0,0,"0",0,"0",0,NA,NA,"0",0,NA,NA,0,0,0,0,22141,"GUAIANASES","Linear","0.19","0","0.08","0.1","0.04","0.7","0.4","0.13","0.44","0.98","1.25","0.52",68,"22147.559","4.07404463161937","16818.6747504827","2731.71185654402","4.52083054454947","0",31,"-0.542193937197807","3.30310564661022","18.9182935052984","17.7567760207712","61.0184947409795","0","2126.87155845242","-0.144097256760072","0.434729623705647",0,2,18,60
"LINEAR GUARATIBA","01-05-19","Guaratiba",573,"Female",31,"Excellent","3 to 6 times a week","1 to 2h","Home","5 to 15 min","Foot","Guaianazes","Relax (mental)"," ","chat/socialize"," ","1","university degree","< 2 MW",0,1,1,0,"GUAIANASES","9.38910057620943","1730.22948654449","0.418573209912855","14.0452488687783","0.531411118746313","1.62621759947169","12.9932309724286","1730.22948654449","1730.22948654449","0.434729623705647","0.382780539356516","24.3519894337131","75.6480105662869","0.23432913141081","0.297116988324994",2096,2096,144,65,"0","0",NA,"0",NA,0,0,"0",0,"0",0,NA,NA,"0",0,NA,NA,0,0,0,0,22141,"GUAIANASES","Linear","0.19","0","0.08","0.1","0.04","0.7","0.4","0.13","0.44","0.98","1.25","0.52",68,"22147.559","4.07404463161937","16818.6747504827","2731.71185654402","4.52083054454947","0",31,"-0.542193937197807","3.30310564661022","18.9182935052984","17.7567760207712","61.0184947409795","0","2126.87155845242","-0.144097256760072","0.434729623705647",0,2,18,120
"LINEAR GUARATIBA","01-05-19","Guaratiba",574,"Male",33,"Fair","Every day","2 to 3h","Home","5 to 15 min","Foot","Guaianazes","Other motivation","Fumar baseado","drugs use"," ","2.26666666666667","secondary school","< 2 MW",0,0,0,0,"GUAIANASES","9.38910057620943","1730.22948654449","0.418573209912855","14.0452488687783","0.531411118746313","1.62621759947169","12.9932309724286","1730.22948654449","1730.22948654449","0.434729623705647","0.382780539356516","24.3519894337131","75.6480105662869","0.23432913141081","0.297116988324994",2096,2096,144,65,"0","0",NA,"0",NA,0,0,"0",0,"0",0,NA,NA,"0",0,NA,NA,0,0,0,0,22141,"GUAIANASES","Linear","0.19","0","0.08","0.1","0.04","0.7","0.4","0.13","0.44","0.98","1.25","0.52",68,"22147.559","4.07404463161937","16818.6747504827","2731.71185654402","4.52083054454947","0",31,"-0.542193937197807","3.30310564661022","18.9182935052984","17.7567760207712","61.0184947409795","0","2126.87155845242","-0.144097256760072","0.434729623705647",0,2,30,150
"LINEAR GUARATIBA","01-05-19","Guaratiba",575,"Male",27,"Fair","1 or 2 times a week","30 min to 1h","Home","15 to 30 min","Bus","Jardim lourdes","Meet people (friends/relatives)"," ","chat/socialize"," ","3.4","secondary school","< 2 MW",1,0,1,0,"GUAIANASES","9.38910057620943","1730.22948654449","0.418573209912855","14.0452488687783","0.531411118746313","1.62621759947169","12.9932309724286","1730.22948654449","1730.22948654449","0.434729623705647","0.382780539356516","24.3519894337131","75.6480105662869","0.23432913141081","0.297116988324994",2096,2096,144,65,"0","0",NA,"0",NA,0,0,"0",0,"0",0,NA,NA,"0",0,NA,NA,0,0,0,0,22141,"GUAIANASES","Linear","0.19","0","0.08","0.1","0.04","0.7","0.4","0.13","0.44","0.98","1.25","0.52",68,"22147.559","4.07404463161937","16818.6747504827","2731.71185654402","4.52083054454947","0",31,"-0.542193937197807","3.30310564661022","18.9182935052984","17.7567760207712","61.0184947409795","0","2126.87155845242","-0.144097256760072","0.434729623705647",0,2,6,60
"LINEAR GUARATIBA","01-05-19","Guaratiba",576,"Male",23,"Excellent","1 or 2 times a week","30 min to 1h","Other origin","15 to 30 min","Bus","8466020","Physical activity"," ","team sports"," ","2.93333333333333","secondary school","< 2 MW",1,0,1,0,"GUAIANASES","9.38910057620943","1730.22948654449","0.418573209912855","14.0452488687783","0.531411118746313","1.62621759947169","12.9932309724286","1730.22948654449","1730.22948654449","0.434729623705647","0.382780539356516","24.3519894337131","75.6480105662869","0.23432913141081","0.297116988324994",2096,2096,144,65,"0","0",NA,"0",NA,0,0,"0",0,"0",0,NA,NA,"0",0,NA,NA,0,0,0,0,22141,"GUAIANASES","Linear","0.19","0","0.08","0.1","0.04","0.7","0.4","0.13","0.44","0.98","1.25","0.52",68,"22147.559","4.07404463161937","16818.6747504827","2731.71185654402","4.52083054454947","0",31,"-0.542193937197807","3.30310564661022","18.9182935052984","17.7567760207712","61.0184947409795","0","2126.87155845242","-0.144097256760072","0.434729623705647",0,2,6,60
"LINEAR GUARATIBA","01-05-19","Guaratiba",577,"Male",42,"Fair","Once a month","1 to 2h","Other origin","5 to 15 min","Foot","Jardim Helena","Stroll with child/elderly"," ","play with child"," ","2.8","primary school","2 to 4 MW",1,0,1,0,"GUAIANASES","9.38910057620943","1730.22948654449","0.418573209912855","14.0452488687783","0.531411118746313","1.62621759947169","12.9932309724286","1730.22948654449","1730.22948654449","0.434729623705647","0.382780539356516","24.3519894337131","75.6480105662869","0.23432913141081","0.297116988324994",2096,2096,144,65,"0","0",NA,"0",NA,0,0,"0",0,"0",0,NA,NA,"0",0,NA,NA,0,0,0,0,22141,"GUAIANASES","Linear","0.19","0","0.08","0.1","0.04","0.7","0.4","0.13","0.44","0.98","1.25","0.52",68,"22147.559","4.07404463161937","16818.6747504827","2731.71185654402","4.52083054454947","0",31,"-0.542193937197807","3.30310564661022","18.9182935052984","17.7567760207712","61.0184947409795","0","2126.87155845242","-0.144097256760072","0.434729623705647",0,3,1,120
"LINEAR GUARATIBA","01-05-19","Guaratiba",578,"Female",44,"Good","1 or 2 times a week",">3h","Home","5 to 15 min","Foot","Guaianazes","Stroll with child/elderly"," ","play with child"," ","3.66666666666667","secondary school","2 to 4 MW",1,0,1,0,"GUAIANASES","9.38910057620943","1730.22948654449","0.418573209912855","14.0452488687783","0.531411118746313","1.62621759947169","12.9932309724286","1730.22948654449","1730.22948654449","0.434729623705647","0.382780539356516","24.3519894337131","75.6480105662869","0.23432913141081","0.297116988324994",2096,2096,144,65,"0","0",NA,"0",NA,0,0,"0",0,"0",0,NA,NA,"0",0,NA,NA,0,0,0,0,22141,"GUAIANASES","Linear","0.19","0","0.08","0.1","0.04","0.7","0.4","0.13","0.44","0.98","1.25","0.52",68,"22147.559","4.07404463161937","16818.6747504827","2731.71185654402","4.52083054454947","0",31,"-0.542193937197807","3.30310564661022","18.9182935052984","17.7567760207712","61.0184947409795","0","2126.87155845242","-0.144097256760072","0.434729623705647",0,3,6,180
"LINEAR GUARATIBA","01-05-19","Guaratiba",579,"Female",36,"Fair","1 or 2 times a week","1 to 2h","Home","Around 5 min","Foot","Jardim aurora","Relax (mental)"," ","play with child"," ","5.06666666666667","primary school","< 2 MW",0,1,1,0,"GUAIANASES","9.38910057620943","1730.22948654449","0.418573209912855","14.0452488687783","0.531411118746313","1.62621759947169","12.9932309724286","1730.22948654449","1730.22948654449","0.434729623705647","0.382780539356516","24.3519894337131","75.6480105662869","0.23432913141081","0.297116988324994",2096,2096,144,65,"0","0",NA,"0",NA,0,0,"0",0,"0",0,NA,NA,"0",0,NA,NA,0,0,0,0,22141,"GUAIANASES","Linear","0.19","0","0.08","0.1","0.04","0.7","0.4","0.13","0.44","0.98","1.25","0.52",68,"22147.559","4.07404463161937","16818.6747504827","2731.71185654402","4.52083054454947","0",31,"-0.542193937197807","3.30310564661022","18.9182935052984","17.7567760207712","61.0184947409795","0","2126.87155845242","-0.144097256760072","0.434729623705647",0,2,6,120
